nom_pays;gentile
Russie;Russe
le Rwanda;Rwandais, Rwandaise
Saint-Christophe-et-Niévès;Christophien, Christophienne
Saint-Marin;Saint-Marinais, Saint-Marinaise
Saint-Vincent-et-les-Grenadines;Vincentais, Vincentaise
Sainte-Lucie;Lucien, Lucienne
le Salvador;Salvadorien, Salvadorienne
les Samoa (f. pl.);Samoan, Samoane
Sao Tomé-et-Principe;Santoméen, Santoméenne
le Sénégal;Sénégalais, Sénégalaise
Serbie;Serbe
les Seychelles (f. pl.);Seychellois, Seychelloise
Sierra Leone;Sierraléonais, Sierraléonaise
Singapour ;Singapourien, Singapourienne
Slovaquie;Slovaque
Slovénie;Slovène
Somalie;Somalien, Somalienne
le Soudan;Soudanais, Soudanaise
le Sri Lanka;Srilankais, Srilankaise, Sri-Lankais, Sri-Lankaise
Suisse;Suisse
le Suriname;Surinamien, Surinamienne, Surinamais, Surinamaise
Suède;Suédois, Suédoise
le Swaziland;Swazi, Swazie
Syrie;Syrien, Syrienne
le Tadjikistan;Tadjik, Tadjike
Tanzanie;Tanzanien, Tanzanienne
Taïwan ;Taïwanais, Taïwanaise
le Tchad;Tchadien, Tchadienne
Thaïlande;Thaïlandais, Thaïlandaise
le Tibet;Tibétain, Tibétaine
le Timor oriental;Est-timorais, Est-timoraise
le Togo;Togolais, Togolaise
les Tonga (f. pl.);Tongien, Tongienne
Trinité-et-Tobago ;Trinidadien, Trinidadienne
Tunisie;Tunisien, Tunisienne
le Turkménistan;Turkmène
Turquie;Turc, Turque
les Tuvalu (f. pl.);Tuvaluan, Tuvaluane
Ukraine ;Ukrainien, Ukrainienne
Uruguay ;Uruguayen, Uruguayenne
le Vanuatu;Vanuatais, Vanuataise
le Vatican;Vatican, Vaticane
le Venezuela;Vénézuélien, Vénézuélienne
le Viêt Nam oder Viêtnam oder Vietnam;Vietnamien, Vietnamienne
le Yémen;Yéménite
Zambie;Zambien, Zambienne
le Zimbabwe;Zimbabwéen, Zimbabwéenne
