nom_decoration
Légion d'honneur
ordre de la Libération
Médaille militaire
ordre national du Mérite
Médaille nationale de reconnaissance aux victimes du terrorisme
Croix de guerre
Croix de la valeur militaire
Médaille de la gendarmerie nationale
Médaille des blessés de guerre
Médaille de la résistance française
ordre des Palmes académiques
ordre du Mérite agricole
ordre du Mérite maritime
ordre des Arts et des lettres
Médaille des évadés
Croix du combattant volontaire
Médaille de l’aéronautique
Croix du combattant
Médaille de la reconnaissance française
Médaille d’outre mer (ex. Médaille coloniale)
Médaille de la défense nationale
Médaille des services militaires volontaires
médailles d’honneur ressortissant aux différents départements ministériels
Médaille d’Afrique du Nord et Médaille de la reconnaissance de la nation
médailles commémoratives diverses et assimilées
